"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone"
2,"2","HASTER-ORANGEWOOD",,"33.79584","-117.90631",,,,,
3,"3","HASTER-WAKEFIELD",,"33.79873","-117.90636",,,,,
4,"4","HASTER-KATELLA",,"33.80212","-117.90644",,,,,
5,"5","ANAHEIM-KATELLA",,"33.80358","-117.90648",,,,,
6,"6","ANAHEIM-CERRITOS",,"33.81093","-117.90598",,,,,
7,"7","ANAHEIM-PALAIS",,"33.81393","-117.90649",,,,,
8,"8","ANAHEIM-BALL",,"33.81772","-117.90782",,,,,
9,"9","ANAHEIM-LORRAINE",,"33.82068","-117.90888",,,,,
10,"10","ANAHEIM-VERMONT",,"33.82344","-117.90981",,,,,
11,"11","ANAHEIM-SOUTH",,"33.82660","-117.91086",,,,,
12,"12","ANAHEIM-WATER",,"33.82879","-117.91157",,,,,
13,"13","ANAHEIM-SANTA ANA",,"33.83152","-117.91247",,,,,
14,"14","ANAHEIM-BROADWAY",,"33.83309","-117.91290",,,,,
15,"15","ANAHEIM-CENTER ST PROMENADE",,"33.83499","-117.91349",,,,,
16,"16","ANAHEIM-LINCOLN",,"33.83729","-117.91433",,,,,
17,"17","ANAHEIM-SYCAMORE",,"33.83970","-117.91519",,,,,
18,"18","ANAHEIM-WILHELMINA",,"33.84192","-117.91593",,,,,
19,"19","ANAHEIM-NORTH",,"33.84413","-117.91666",,,,,
20,"20","ANAHEIM-LA VERNE",,"33.84630","-117.91754",,,,,
21,"21","ANAHEIM-NORTH",,"33.84441","-117.91698",,,,,
22,"22","ANAHEIM-WILHELMINA",,"33.84171","-117.91610",,,,,
23,"23","ANAHEIM-SYCAMORE",,"33.83951","-117.91541",,,,,
24,"24","ANAHEIM-LINCOLN",,"33.83586","-117.91419",,,,,
25,"25","ANAHEIM-BROADWAY",,"33.83384","-117.91347",,,,,
26,"26","ANAHEIM-SANTA ANA",,"33.83075","-117.91249",,,,,
27,"27","ANAHEIM-WATER",,"33.82861","-117.91177",,,,,
